pitProfileID,depthIncrementID,topDepth,bottomDepth,depthIncrementVolume
HARV.2,HARV.2.60,60,70,0.000507
HARV.2,HARV.2.70,70,80,0.000426
HARV.2,HARV.2.10,10,20,0.000608
HARV.1,HARV.1.110,110,120,0.000608
HARV.1,HARV.1.50,50,60,0.000223
HARV.3,HARV.3.40,40,50,0.000547
HARV.1,HARV.1.40,40,50,0.000284
HARV.1,HARV.1.0,0,10,0.000588
HARV.2,HARV.2.30,30,40,0.000568
HARV.3,HARV.3.10,10,20,0.000507
HARV.2,HARV.2.20,20,30,0.000547
HARV.1,HARV.1.20,20,30,0.000101
HARV.2,HARV.2.0,0,10,0.000588
HARV.1,HARV.1.60,60,70,0.000426
HARV.2,HARV.2.50,50,60,0.000405
HARV.3,HARV.3.30,30,40,0.000608
HARV.2,HARV.2.40,40,50,0.000426
HARV.1,HARV.1.30,30,40,0.000486
HARV.1,HARV.1.80,80,90,0.000588
HARV.3,HARV.3.0,0,10,0.000527
HARV.1,HARV.1.120,120,130,0.000426
HARV.1,HARV.1.70,70,80,0.000345
HARV.3,HARV.3.20,20,30,0.000365
HARV.1,HARV.1.10,10,20,0.000203
