depthIncrementID,sampleID,rootStatus,sizeCategory,rootDryMass,incrementRootBiomass,incrementRootDensity
HARV.1.0,HARV.1.0.LIVE.<2MM,live,<=2mm,4.2057,715.52,7155.22
HARV.1.10,HARV.1.10.LIVE.>2MM,live,>2mm,0.0814,40.16,401.61
HARV.1.60,HARV.1.60.LIVE.<2MM,live,<=2mm,0.2358,55.4,554
HARV.1.80,HARV.1.80.LIVE.<2MM,live,<=2mm,0.0135,2.3,22.97
HARV.3.40,HARV.3.40.LIVE.<2MM,live,<=2mm,0.2764,50.51,505.08
HARV.2.50,HARV.2.50.LIVE.<2MM,live,<=2mm,0.1191,29.38,293.81
HARV.2.40,HARV.2.40.LIVE.>2MM,live,>2mm,0.0948,22.27,222.73
HARV.2.60,HARV.2.60.LIVE.<2MM,live,<=2mm,0.3135,61.87,618.7
HARV.1.30,HARV.1.30.LIVE.>2MM,live,>2mm,0.1353,27.81,278.14
HARV.2.10,HARV.2.10.LIVE.<2MM,live,<=2mm,2.088,343.39,3433.93
HARV.2.10,HARV.2.10.LIVE.>2MM,live,>2mm,0.1492,24.54,245.38
HARV.3.0,HARV.3.0.LIVE.>2MM,live,>2mm,0.1572,29.83,298.31
HARV.2.20,HARV.2.20.LIVE.>2MM,live,>2mm,0.2484,45.39,453.91
HARV.3.10,HARV.3.10.LIVE.>2MM,live,>2mm,0.177,34.93,349.31
HARV.1.30,HARV.1.30.LIVE.<2MM,live,<=2mm,0.6412,131.82,1318.15
HARV.2.60,HARV.2.60.LIVE.>2MM,live,>2mm,0.0224,4.42,44.21
HARV.3.30,HARV.3.30.LIVE.<2MM,live,<=2mm,0.6451,106.09,1060.93
HARV.3.20,HARV.3.20.LIVE.<2MM,live,<=2mm,0.4028,110.41,1104.08
HARV.1.10,HARV.1.10.LIVE.<2MM,live,<=2mm,0.829,409.01,4090.13
HARV.2.0,HARV.2.0.LIVE.>2MM,live,>2mm,0.0908,15.45,154.48
HARV.2.70,HARV.2.70.LIVE.<2MM,live,<=2mm,0.0791,18.58,185.84
HARV.1.50,HARV.1.50.LIVE<2MM,live,<=2mm,0.1958,87.82,878.22
HARV.2.20,HARV.2.20.LIVE.<2MM,live,<=2mm,1.059,193.52,1935.15
HARV.2.30,HARV.2.30.LIVE.<2MM,live,<=2mm,0.5317,93.69,936.9
HARV.1.20,HARV.1.20.LIVE.<2MM,live,<=2mm,0.1733,171.01,1710.06
HARV.3.20,HARV.3.20.LIVE.>2MM,live,>2mm,0.1297,35.55,355.51
HARV.1.120,HARV.1.120.LIVE.<2MM,live,<=2mm,0.2371,55.71,557.05
HARV.1.70,HARV.1.70.LIVE.<2MM,live,<=2mm,0.0393,11.41,114.06
HARV.3.10,HARV.3.10.LIVE.<2MM,live,<=2mm,1.2337,243.47,2434.74
HARV.2.0,HARV.2.0.LIVE.<2MM,live,<=2mm,2.6064,443.43,4434.31
HARV.1.40,HARV.1.40.LIVE.<2MM,live,<=2mm,0.2419,85.25,852.49
HARV.2.40,HARV.2.40.LIVE.<2MM,live,<=2mm,3.0801,723.65,7236.49
HARV.1.0,HARV.1.0.LIVE.>2MM,live,>2mm,0.5061,86.1,861.04
HARV.1.110,HARV.1.110.LIVE.<2MM,live,<=2mm,0.1138,18.72,187.16
HARV.2.30,HARV.2.30.LIVE.<2MM,live,>2mm,1.7533,308.95,3089.45
HARV.3.0,HARV.3.0.LIVE.<2MM,live,<=2mm,3.8507,730.72,7307.17
