siteID,pitID,pitProfileID,rootStatus,sizeCategory,maxProfileDepth,totalRootBiomass,depth100RootBiomass
UNDE,5_UNDERC_PIT1,UNDE.1,live,>2mm,50,469.04,469.04
UNDE,5_UNDERC_PIT1,UNDE.3,dead,>2mm,10,107.95,107.95
UNDE,5_UNDERC_PIT1,UNDE.1,dead,>2mm,10,351.53,351.53
UNDE,5_UNDERC_PIT1,UNDE.2,live,<=2mm,200,242.13,214.03
UNDE,5_UNDERC_PIT1,UNDE.1,live,<=2mm,200,301.91,271.36
UNDE,5_UNDERC_PIT1,UNDE.1,dead,<=2mm,120,159.06,158.93
UNDE,5_UNDERC_PIT1,UNDE.2,live,>2mm,20,288.06,288.06
UNDE,5_UNDERC_PIT1,UNDE.3,live,>2mm,90,45.61,45.61
UNDE,5_UNDERC_PIT1,UNDE.3,live,<=2mm,160,343.68,243.43
UNDE,5_UNDERC_PIT1,UNDE.3,dead,<=2mm,200,104.05,94.53
UNDE,5_UNDERC_PIT1,UNDE.2,dead,<=2mm,140,111.8,110.22
