pitProfileID,depthIncrementID,topDepth,bottomDepth,depthIncrementVolume
UNDE.2,UNDE.2.80,80,90,0.001
UNDE.2,UNDE.2.100,100,120,0.002
UNDE.2,UNDE.2.20,20,30,0.000588
UNDE.2,UNDE.2.70,70,80,0.001
UNDE.3,UNDE.3.80,80,90,0.001
UNDE.1,UNDE.1.50,50,60,0.001
UNDE.3,UNDE.3.90,90,100,0.0011
UNDE.3,UNDE.3.120,120,140,0.002
UNDE.3,UNDE.3.30,30,40,0.001
UNDE.2,UNDE.2.0,0,10,0.000568
UNDE.2,UNDE.2.60,60,70,0.001
UNDE.2,UNDE.2.40,40,50,0.001
UNDE.1,UNDE.1.180,180,200,0.002
UNDE.2,UNDE.2.90,90,100,0.001
UNDE.2,UNDE.2.140,140,160,0.0022
UNDE.2,UNDE.2.180,180,200,0.00242
UNDE.2,UNDE.2.10,10,20,0.000588
UNDE.2,UNDE.2.30,30,40,0.001
UNDE.3,UNDE.3.0,0,10,0.000669
UNDE.3,UNDE.3.100,100,120,0.002
UNDE.1,UNDE.1.0,0,10,0.000578
UNDE.1,UNDE.1.20,20,30,0.000578
UNDE.1,UNDE.1.120,120,140,0.0024
UNDE.1,UNDE.1.70,70,80,0.001
UNDE.1,UNDE.1.100,100,120,0.002
UNDE.1,UNDE.1.80,80,90,0.001
UNDE.1,UNDE.1.60,60,70,0.0008
UNDE.1,UNDE.1.40,40,50,0.0011
UNDE.1,UNDE.1.140,140,160,0.002
UNDE.1,UNDE.1.10,10,20,0.000649
UNDE.1,UNDE.1.90,90,100,0.001
UNDE.1,UNDE.1.30,30,40,0.001
UNDE.3,UNDE.3.10,10,20,0.000659
UNDE.2,UNDE.2.160,160,180,0.002
UNDE.3,UNDE.3.70,70,80,0.0008
UNDE.3,UNDE.3.50,50,60,0.001
UNDE.3,UNDE.3.20,20,30,0.000669
UNDE.3,UNDE.3.140,140,160,0.002
UNDE.1,UNDE.1.160,160,180,0.002
UNDE.3,UNDE.3.40,40,50,0.001
UNDE.2,UNDE.2.50,50,60,0.001
UNDE.3,UNDE.3.60,60,70,0.001
UNDE.2,UNDE.2.120,120,140,0.002
UNDE.3,UNDE.3.180,180,200,0.002
