depthIncrementID,sampleID,rootStatus,sizeCategory,rootDryMass,incrementRootBiomass,incrementRootDensity
UNDE.3.10,UNDE.3.10.DEAD.<2MM,dead,<=2mm,0.2327,35.33,353.26
UNDE.2.60,UNDE.2.60.LIVE.<2MM,live,<=2mm,0.0138,1.38,13.8
UNDE.2.90,UNDE.2.90.LIVE.<2MM,live,<=2mm,0.0657,6.57,65.7
UNDE.3.90,UNDE.3.90.DEAD.<2MM,dead,<=2mm,0.0063,0.57,5.73
UNDE.3.120,UNDE.3.120.LIVE.<2MM,live,<=2mm,0.4529,45.29,226.45
UNDE.3.10,UNDE.3.10.LIVE.<2MM,live,<=2mm,0.0522,7.92,79.24
UNDE.3.80,UNDE.3.80.LIVE.<2MM,live,<=2mm,0.2717,27.17,271.7
UNDE.3.20,UNDE.3.20.LIVE.<2MM,live,<=2mm,0.0574,8.58,85.82
UNDE.3.100,UNDE.3.100.LIVE.<2MM,live,<=2mm,0.5309,53.09,265.45
UNDE.2.140,UNDE.2.140.LIVE.<2MM,live,<=2mm,0.0388,3.53,17.64
UNDE.3.50,UNDE.3.50.DEAD.<2MM,dead,<=2mm,0.0169,1.69,16.9
UNDE.3.60,UNDE.3.60.LIVE.<2MM,live,<=2mm,0.0337,3.37,33.7
UNDE.3.70,UNDE.3.70.DEAD.<2MM,dead,<=2mm,0.0054,0.68,6.75
UNDE.2.30,UNDE.2.30.LIVE.<2MM,live,<=2mm,0.1328,13.28,132.8
UNDE.2.80,UNDE.2.80.LIVE.<2MM,live,<=2mm,0.089,8.9,89
UNDE.3.80,UNDE.3.80.LIVE.>2MM,live,>2mm,0.1233,12.33,123.3
UNDE.2.120,UNDE.2.120.LIVE.<2MM,live,<=2mm,0.1748,17.48,87.4
UNDE.3.0,UNDE.3.0.DEAD.>2MM,dead,>2mm,0.722,107.95,1079.46
UNDE.3.70,UNDE.3.70.LIVE.<2MM,live,<=2mm,0.0338,4.23,42.25
UNDE.3.80,UNDE.3.80.DEAD.<2MM,dead,<=2mm,0.007,0.7,7
UNDE.3.180,UNDE.3.180.DEAD.<2MM,dead,<=2mm,0.0011,0.11,0.55
UNDE.3.90,UNDE.3.90.LIVE.<2MM,live,<=2mm,0.3867,35.15,351.55
UNDE.2.180,UNDE.2.180.LIVE.<2MM,live,<=2mm,0.0002,0.02,0.08
UNDE.3.0,UNDE.3.0.DEAD.<2MM,dead,<=2mm,0.2457,36.73,367.35
UNDE.3.50,UNDE.3.50.LIVE.<2MM,live,<=2mm,0.0175,1.75,17.5
UNDE.2.40,UNDE.2.40.LIVE.<2MM,live,<=2mm,0.0011,0.11,1.1
UNDE.3.140,UNDE.3.140.LIVE.<2MM,live,<=2mm,0.0187,1.87,9.35
UNDE.2.20,UNDE.2.20.LIVE.<2MM,live,<=2mm,0.1211,20.6,206.03
UNDE.3.40,UNDE.3.40.LIVE.<2MM,live,<=2mm,0.1359,13.59,135.9
UNDE.3.0,UNDE.3.0.LIVE.>2MM,live,>2mm,0.2226,33.28,332.81
UNDE.3.140,UNDE.3.140.DEAD.<2MM,dead,<=2mm,0.001,0.1,0.5
UNDE.3.0,UNDE.3.0.LIVE.<2MM,live,<=2mm,0.8989,134.4,1343.95
UNDE.3.20,UNDE.3.20.DEAD.<2MM,dead,<=2mm,0.0662,9.9,98.98
UNDE.3.120,UNDE.3.120.DEAD.<2MM,dead,<=2mm,0.0414,4.14,20.7
UNDE.3.30,UNDE.3.30.DEAD.<2MM,dead,<=2mm,0.0584,5.84,58.4
UNDE.3.100,UNDE.3.100.DEAD.<2MM,dead,<=2mm,0.0517,5.17,25.85
UNDE.2.70,UNDE.2.70.LIVE.<2MM,live,<=2mm,0.0028,0.28,2.8
UNDE.2.160,UNDE.2.160.LIVE.<2MM,live,<=2mm,0.0558,5.58,27.9
UNDE.3.30,UNDE.3.30.LIVE.<2MM,live,<=2mm,0.0727,7.27,72.7
UNDE.3.60,UNDE.3.60.DEAD.<2MM,dead,<=2mm,0.0073,0.73,7.3
UNDE.2.50,UNDE.2.50.LIVE.<2MM,live,<=2mm,0.06,6,60
UNDE.3.40,UNDE.3.40.DEAD.<2MM,dead,<=2mm,0.0236,2.36,23.6
UNDE.1.180,UNDE.1.180.LIVE.<2MM,live,<=2mm,0.0028,0.28,1.4
UNDE.1.10,UNDE.1.10.LIVE.<2MM,live,<=2mm,0.3918,60.41,604.08
UNDE.2.80,UNDE.2.80.DEAD.<2MM,dead,<=2mm,0.0015,0.15,1.5
UNDE.1.40,UNDE.1.40.LIVE.<2MM,live,<=2mm,0.0619,5.63,56.27
UNDE.2.100,UNDE.2.100.LIVE.<2MM,live,<=2mm,0.0149,1.49,7.45
UNDE.1.0,UNDE.1.0.LIVE.>2MM,live,>2mm,0.5747,99.49,994.89
UNDE.2.120,UNDE.2.120.DEAD.<2MM,dead,<=2mm,0.0158,1.58,7.9
UNDE.1.90,UNDE.1.90.LIVE.<2MM,live,<=2mm,0.0252,2.52,25.2
UNDE.1.100,UNDE.1.100.LIVE.<2MM,live,<=2mm,0.0509,5.09,25.45
UNDE.1.80,UNDE.1.80.DEAD.<2MM,dead,<=2mm,0.0041,0.41,4.1
UNDE.1.40,UNDE.1.40.LIVE.>2MM,live,>2mm,2.8187,256.25,2562.45
UNDE.1.30,UNDE.1.30.LIVE.<2MM,live,<=2mm,0.4088,40.88,408.8
UNDE.1.60,UNDE.1.60.LIVE.<2MM,live,<=2mm,0.0085,1.06,10.63
UNDE.2.10,UNDE.2.10.LIVE.<2MM,live,<=2mm,0.2759,46.94,469.39
UNDE.2.0,UNDE.2.0.DEAD.<2MM,dead,<=2mm,0.1667,29.37,293.74
UNDE.1.10,UNDE.1.10.LIVE.>2MM,live,>2mm,0.5003,77.14,771.37
UNDE.2.10,UNDE.2.10.DEAD.<2MM,dead,<=2mm,0.3686,62.71,627.11
UNDE.2.10,UNDE.2.10.LIVE.>2MM,live,>2mm,0.1521,25.88,258.77
UNDE.1.0,UNDE.1.0.DEAD.>2MM,dead,>2mm,2.0306,351.53,3515.28
UNDE.1.90,UNDE.1.90.DEAD.<2MM,dead,<=2mm,0.0031,0.31,3.1
UNDE.2.90,UNDE.2.90.DEAD.<2MM,dead,<=2mm,0.0104,1.04,10.4
UNDE.1.100,UNDE.1.100.DEAD.<2MM,dead,<=2mm,0.0013,0.13,0.65
UNDE.2.0,UNDE.2.0.LIVE.>2MM,live,>2mm,1.4879,262.18,2621.8
UNDE.1.10,UNDE.1.10.DEAD.<2MM,dead,<=2mm,0.2983,45.99,459.92
UNDE.1.20,UNDE.1.20.LIVE.<2MM,live,<=2mm,0.1145,19.82,198.22
UNDE.2.60,UNDE.2.60.DEAD.<2MM,dead,<=2mm,0.0066,0.66,6.6
UNDE.2.30,UNDE.2.30.DEAD.<2MM,dead,<=2mm,0.0379,3.79,37.9
UNDE.1.0,UNDE.1.0.DEAD.<2MM,dead,<=2mm,0.4356,75.41,754.09
UNDE.1.70,UNDE.1.70.DEAD.<2MM,dead,<=2mm,0.0021,0.21,2.1
UNDE.1.20,UNDE.1.20.DEAD.<2MM,dead,<=2mm,0.1052,18.21,182.12
UNDE.2.50,UNDE.2.50.DEAD.<2MM,dead,<=2mm,0.0199,1.99,19.9
UNDE.1.120,UNDE.1.120.LIVE.<2MM,live,<=2mm,0.1796,14.97,74.83
UNDE.2.40,UNDE.2.40.DEAD.<2MM,dead,<=2mm,0.0107,1.07,10.7
UNDE.1.0,UNDE.1.0.LIVE.<2MM,live,<=2mm,0.7911,136.95,1369.51
UNDE.1.50,UNDE.1.50.DEAD.<2MM,dead,<=2mm,0.0023,0.23,2.3
UNDE.2.20,UNDE.2.20.DEAD.<2MM,dead,<=2mm,0.0517,8.8,87.96
UNDE.1.70,UNDE.1.70.LIVE.<2MM,live,<=2mm,0.034,3.4,34
UNDE.1.20,UNDE.1.20.LIVE.>2MM,live,>2mm,0.2089,36.16,361.64
UNDE.1.30,UNDE.1.30.DEAD.<2MM,dead,<=2mm,0.073,7.3,73
UNDE.2.0,UNDE.2.0.LIVE.<2MM,live,<=2mm,0.6241,109.97,1099.72
UNDE.1.60,UNDE.1.60.DEAD.<2MM,dead,<=2mm,0.001,0.13,1.25
UNDE.1.80,UNDE.1.80.LIVE.<2MM,live,<=2mm,0.0047,0.47,4.7
UNDE.1.140,UNDE.1.140.LIVE.<2MM,live,<=2mm,0.101,10.1,50.5
UNDE.1.160,UNDE.1.160.LIVE.<2MM,live,<=2mm,0.0011,0.11,0.55
UNDE.1.50,UNDE.1.50.LIVE.<2MM,live,<=2mm,0.0022,0.22,2.2
UNDE.1.40,UNDE.1.40.DEAD.<2MM,dead,<=2mm,0.1181,10.74,107.36
